target_date,generated_at_utc,history_through,board_mode,weather_source,batter,game_pk,opposing_pitcher_id,model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,606466,825035,677958.0,1,Ketel Marte,Arizona Diamondbacks,Texas Rangers,Kumar Rocker,2,Chase Field,213.0,10.0,Elite,9.8,8.7,9.2,8.7,10.0,4.8,9.0,103.64,5.4059276999999994,240.0,5.8,4.5,7.2,9.1,Ballpark + Hitter skill,True
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,641355,823496,804267.0,2,Cody Bellinger,New York Yankees,New York Mets,Zac Thornton,2,Yankee Stadium,117.0,10.0,Elite,10.0,7.2,8.6,7.2,6.3,6.7,9.0,80.24000000000001,10.1283473,162.0,6.8,6.6,8.2,7.9,Hitter skill + Lineup context,True
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,700250,823496,804267.0,3,Ben Rice,New York Yankees,New York Mets,Zac Thornton,1,Yankee Stadium,117.0,9.9,Elite,9.5,9.2,8.6,9.2,6.3,6.7,10.0,80.24000000000001,10.1283473,162.0,3.4,7.8,6.1,8.6,Lineup context + Hitter skill,True
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,805808,824224,685299.0,4,Kevin McGonigle,Detroit Tigers,Colorado Rockies,Tanner Gordon,1,Comerica Park,100.0,9.9,Elite,9.9,6.5,9.5,6.5,5.5,6.7,10.0,80.6,8.7613311,220.0,9.0,7.1,4.3,4.9,Lineup context + Hitter skill,True
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,682998,825035,677958.0,5,Corbin Carroll,Arizona Diamondbacks,Texas Rangers,Kumar Rocker,5,Chase Field,213.0,9.9,Elite,9.7,8.0,9.2,8.0,10.0,4.8,6.0,103.64,5.4059276999999994,240.0,3.4,8.2,7.3,9.4,Ballpark + Hitter skill,True
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,596019,823496,543037.0,6,Francisco Lindor,New York Mets,New York Yankees,Gerrit Cole,1,Yankee Stadium,117.0,9.8,Elite,8.8,7.3,8.2,7.3,6.3,6.7,10.0,80.24000000000001,10.1283473,162.0,8.6,6.1,7.5,9.2,Lineup context + Hitter skill,True
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,646240,823170,650633.0,7,Rafael Devers,San Francisco Giants,San Diego Padres,Michael King,2,Oracle Park,139.0,9.8,Elite,9.9,6.8,7.3,6.8,7.3,6.2,9.0,67.64,18.9518155,287.0,9.7,9.6,7.4,9.8,Hitter skill + Recent power,True
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,671277,823496,804267.0,8,Luis García Jr.,New York Yankees,New York Mets,Zac Thornton,4,Yankee Stadium,117.0,9.8,Elite,7.5,9.9,8.6,9.9,6.3,6.7,7.0,80.24000000000001,10.1283473,162.0,9.6,9.2,8.2,7.2,Pitch-type matchup + Recent power,True
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,605141,823819,663969.0,9,Mookie Betts,Los Angeles Dodgers,Miami Marlins,Tyler Phillips,3,loanDepot park,135.0,9.7,Elite,9.4,5.2,8.9,5.2,7.1,6.6,8.0,84.56,8.077823,93.0,9.0,6.4,5.0,6.6,Hitter skill + Recent power,True
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,668901,823496,543037.0,10,Mark Vientos,New York Mets,New York Yankees,Gerrit Cole,4,Yankee Stadium,117.0,9.7,Elite,7.7,9.8,8.2,9.8,6.3,6.7,7.0,80.24000000000001,10.1283473,162.0,9.0,5.7,7.2,8.1,Pitch-type matchup + Recent power,True
