model_rank,batter_name
1,Junior Caminero
2,Yohandy Morales
3,Kevin McGonigle
4,Daylen Lile
5,Roman Anthony
6,Colson Montgomery
7,Zach Neto
8,Yandy Díaz
9,Jackson Chourio
10,Chase DeLauter
11,Jackson Merrill
12,Colt Keith
13,Julio Rodríguez
14,Fernando Tatis
15,Dylan Crews
16,Andrés Chaparro
17,Cal Raleigh
18,Jose Siri
19,Keibert Ruiz
20,Coby Mayo
21,Bobby Witt
22,Will Smith
23,Wilyer Abreu
24,Matt Olson
25,Kody Clemens
26,Heriberto Hernandez
27,Luis García
28,Mookie Betts
29,Henry Bolte
30,Griffin Conine
31,Leo Bernal
32,Joc Pederson
33,Carter Jensen
34,Bryan Reynolds
35,Hunter Goodman
36,Oneil Cruz
37,Manny Machado
38,Brooks Lee
39,Ryan Vilade
40,Ben Rice
41,Max Muncy
42,Nathaniel Lowe
43,Denzer Guzman
44,CJ Abrams
45,Riley Greene
46,William Contreras
47,Salvador Perez
48,Luis Torrens
49,Nolan Arenado
50,Cedric Mullins
