model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,production_score,ranking_score
1,Junior Caminero,Tampa Bay Rays,Houston Astros,Miguel Ullola,3,Tropicana Field,107.0,10.0,Elite,7.8,9.6,9.5,9.6,5.8,6.5,8.0,81.5,2.8583066,141.0,9.0,7.8,8.9,10.0,Pitch-type matchup + Pitcher vulnerability,True,0.8343055555555554,0.8343055555555554
2,Yohandy Morales,Washington Nationals,Los Angeles Angels,Yusei Kikuchi,5,Nationals Park,105.0,10.0,Elite,8.1,9.8,8.9,9.8,5.7,6.5,6.0,78.25999999999999,3.728226,73.0,9.3,10.0,9.6,8.1,Pitch-type matchup + Recent power,True,0.8247222222222221,0.8247222222222221
3,Kevin McGonigle,Detroit Tigers,Colorado Rockies,Mason Adams,1,Comerica Park,100.0,9.9,Elite,7.4,9.2,9.9,9.2,5.5,6.6,10.0,73.94,6.2758471,96.0,9.3,8.1,6.0,6.0,Lineup context + Pitcher vulnerability,True,0.8091666666666667,0.8091666666666667
4,Daylen Lile,Washington Nationals,Los Angeles Angels,Yusei Kikuchi,6,Nationals Park,105.0,9.9,Elite,9.6,7.0,8.9,7.0,5.7,6.5,5.0,78.25999999999999,3.728226,73.0,3.6,9.4,8.1,8.7,Hitter skill + Pitcher vulnerability,True,0.7925,0.7925
5,Roman Anthony,Boston Red Sox,Kansas City Royals,Seth Lugo,1,Fenway Park,92.0,9.9,Elite,8.3,9.9,7.2,9.9,5.1,6.6,10.0,71.78,5.2195164,295.0,3.6,7.8,9.9,9.4,Lineup context + Pitch-type matchup,True,0.7790277777777778,0.7790277777777778
6,Colson Montgomery,Chicago White Sox,St. Louis Cardinals,Matthew Liberatore,5,Busch Stadium,70.0,9.8,Elite,9.6,7.2,7.9,7.2,4.2,5.5,6.0,,,,9.4,6.9,8.8,8.0,Hitter skill + Recent power,True,0.7734722222222221,0.7734722222222221
7,Zach Neto,Los Angeles Angels,Washington Nationals,Cade Cavalli,1,Nationals Park,105.0,9.8,Elite,9.0,8.9,6.9,8.9,5.7,6.5,10.0,78.25999999999999,3.728226,73.0,6.5,6.4,6.3,8.4,Lineup context + Hitter skill,True,0.7672222222222222,0.7672222222222222
8,Yandy Díaz,Tampa Bay Rays,Houston Astros,Miguel Ullola,1,Tropicana Field,107.0,9.8,Elite,7.6,6.1,9.5,6.1,5.8,6.5,10.0,81.5,2.8583066,141.0,6.2,9.3,9.0,7.9,Lineup context + Pitcher vulnerability,True,0.7666666666666666,0.7666666666666666
9,Jackson Chourio,Milwaukee Brewers,Cincinnati Reds,Andrew Abbott,1,American Family Field,88.0,9.7,Elite,9.7,8.9,5.9,8.9,5.0,6.7,10.0,73.22,9.5069763,146.0,6.3,7.1,6.9,8.1,Lineup context + Hitter skill,True,0.7633333333333333,0.7633333333333333
10,Chase DeLauter,Cleveland Guardians,Minnesota Twins,Taj Bradley,2,Target Field,113.0,9.7,Elite,9.4,7.7,6.5,7.7,6.1,5.5,9.0,,,,3.6,8.8,10.0,9.7,Hitter skill + Lineup context,True,0.7593055555555555,0.7593055555555555
11,Jackson Merrill,San Diego Padres,San Francisco Giants,Anthony Molina,5,Oracle Park,139.0,9.7,Elite,9.2,8.7,6.2,8.7,7.3,6.2,6.0,66.02,15.6585492,280.0,3.6,9.3,9.6,9.6,Hitter skill + Pitch-type matchup,True,0.754861111111111,0.754861111111111
12,Colt Keith,Detroit Tigers,Colorado Rockies,Mason Adams,3,Comerica Park,100.0,9.6,Elite,8.5,5.5,9.9,5.5,5.5,6.6,8.0,73.94,6.2758471,96.0,3.6,7.2,7.4,5.3,Pitcher vulnerability + Hitter skill,True,0.7484722222222222,0.7484722222222222
13,Julio Rodríguez,Seattle Mariners,Athletics,Jeffrey Springs,5,Sutter Health Park,100.0,9.6,Elite,9.3,6.0,9.2,6.0,5.5,5.5,6.0,,,,3.6,6.6,6.5,7.0,Hitter skill + Pitcher vulnerability,True,0.7476388888888891,0.7476388888888891
14,Fernando Tatis,San Diego Padres,San Francisco Giants,Anthony Molina,1,Oracle Park,139.0,9.6,Elite,8.1,7.4,6.2,7.4,7.3,6.2,10.0,66.02,15.6585492,280.0,7.7,9.9,10.0,9.8,Lineup context + Hitter skill,True,0.7408333333333333,0.7408333333333333
15,Dylan Crews,Washington Nationals,Los Angeles Angels,Yusei Kikuchi,2,Nationals Park,105.0,9.5,Elite,6.5,9.1,8.9,9.1,5.7,6.5,9.0,78.25999999999999,3.728226,73.0,7.2,4.1,8.2,8.5,Pitch-type matchup + Lineup context,True,0.7388888888888888,0.7388888888888888
16,Andrés Chaparro,Washington Nationals,Los Angeles Angels,Yusei Kikuchi,3,Nationals Park,105.0,9.5,Elite,5.4,9.9,8.9,9.9,5.7,6.5,8.0,78.25999999999999,3.728226,73.0,8.8,6.8,9.6,9.5,Pitch-type matchup + Pitcher vulnerability,True,0.7379166666666667,0.7379166666666667
17,Cal Raleigh,Seattle Mariners,Athletics,Jeffrey Springs,4,Sutter Health Park,100.0,9.5,Elite,6.1,7.7,9.2,7.7,5.5,5.5,7.0,,,,7.7,10.0,9.7,9.8,Pitcher vulnerability + Pitch-type matchup,True,0.731111111111111,0.731111111111111
18,Jose Siri,Los Angeles Angels,Washington Nationals,Cade Cavalli,3,Nationals Park,105.0,9.4,Excellent,9.3,6.2,6.9,6.2,5.7,6.5,8.0,78.25999999999999,3.728226,73.0,3.6,9.6,8.5,8.0,Hitter skill + Lineup context,True,0.7298611111111111,0.7298611111111111
19,Keibert Ruiz,Washington Nationals,Los Angeles Angels,Yusei Kikuchi,7,Nationals Park,105.0,9.4,Excellent,9.2,4.9,8.9,4.9,5.7,6.5,4.0,78.25999999999999,3.728226,73.0,3.6,5.9,9.3,7.3,Hitter skill + Pitcher vulnerability,True,0.7231944444444444,0.7231944444444444
20,Coby Mayo,Baltimore Orioles,Toronto Blue Jays,Max Scherzer,3,Rogers Centre,69.0,9.4,Excellent,8.9,9.7,5.5,9.7,4.1,5.9,8.0,66.74000000000001,4.7845567,101.0,9.7,9.0,5.8,4.2,Pitch-type matchup + Recent power,True,0.7195833333333334,0.7195833333333334
21,Bobby Witt,Kansas City Royals,Boston Red Sox,Sonny Gray,2,Fenway Park,92.0,9.3,Excellent,9.7,7.8,4.5,7.8,5.1,6.6,9.0,71.78,5.2195164,295.0,6.5,8.2,6.4,9.4,Hitter skill + Lineup context,True,0.7093055555555555,0.7093055555555555
22,Will Smith,Los Angeles Dodgers,Miami Marlins,Ryan Gusto,2,loanDepot park,135.0,9.3,Excellent,9.5,8.1,4.9,8.1,7.1,6.6,9.0,75.38,7.0214923,207.0,8.8,3.1,9.5,2.3,Hitter skill + Lineup context,True,0.7015277777777776,0.7015277777777776
23,Wilyer Abreu,Boston Red Sox,Kansas City Royals,Seth Lugo,3,Fenway Park,92.0,9.3,Excellent,8.5,7.4,7.2,7.4,5.1,6.6,8.0,71.78,5.2195164,295.0,3.6,5.4,7.7,5.9,Hitter skill + Lineup context,True,0.6991666666666666,0.6991666666666666
24,Matt Olson,Atlanta Braves,Philadelphia Phillies,Aaron Nola,3,Truist Park,100.0,9.2,Excellent,7.6,7.5,8.2,7.5,5.5,6.7,8.0,81.14,9.4448392,176.0,3.6,4.9,6.1,6.3,Pitcher vulnerability + Lineup context,True,0.6943055555555554,0.6943055555555554
25,Kody Clemens,Minnesota Twins,Cleveland Guardians,Parker Messick,3,Target Field,113.0,9.2,Excellent,8.8,8.8,3.9,8.8,6.1,5.5,8.0,,,,7.7,9.5,9.5,8.2,Hitter skill + Pitch-type matchup,True,0.6915277777777777,0.6915277777777777
26,Heriberto Hernandez,Miami Marlins,Los Angeles Dodgers,TBD,2,loanDepot park,135.0,9.2,Excellent,9.1,5.5,5.5,5.5,7.1,6.6,9.0,75.38,7.0214923,207.0,6.8,8.5,5.9,8.3,Hitter skill + Lineup context,True,0.6856944444444443,0.6856944444444443
27,Luis García,New York Yankees,New York Mets,Nolan McLean,4,Yankee Stadium,117.0,9.1,Excellent,9.9,9.7,2.2,9.7,6.3,6.5,7.0,76.28,4.6602825,325.0,8.6,8.4,7.1,7.4,Hitter skill + Pitch-type matchup,True,0.6829166666666667,0.6829166666666667
28,Mookie Betts,Los Angeles Dodgers,Miami Marlins,Ryan Gusto,3,loanDepot park,135.0,9.1,Excellent,10.0,6.6,4.9,6.6,7.1,6.6,8.0,75.38,7.0214923,207.0,6.8,5.6,3.9,5.9,Hitter skill + Lineup context,True,0.6813888888888888,0.6813888888888888
29,Henry Bolte,Athletics,Seattle Mariners,George Kirby,1,Sutter Health Park,100.0,9.1,Excellent,8.4,5.7,7.5,5.7,5.5,5.5,10.0,,,,6.8,4.1,5.1,5.3,Lineup context + Hitter skill,True,0.6776388888888889,0.6776388888888889
30,Griffin Conine,Miami Marlins,Los Angeles Dodgers,TBD,3,loanDepot park,135.0,9.0,Excellent,8.6,5.5,5.5,5.5,7.1,6.6,8.0,75.38,7.0214923,207.0,7.7,9.8,8.3,6.9,Hitter skill + Lineup context,True,0.6768055555555554,0.6768055555555554
31,Leo Bernal,St. Louis Cardinals,Chicago White Sox,Anthony Kay,4,Busch Stadium,70.0,9.0,Excellent,9.5,6.8,5.2,6.8,4.2,5.5,7.0,,,,3.6,4.9,9.8,9.9,Hitter skill + Lineup context,True,0.6736111111111112,0.6736111111111112
32,Joc Pederson,Texas Rangers,Arizona Diamondbacks,TBD,1,Chase Field,213.0,9.0,Excellent,9.0,5.5,5.5,5.5,10.0,5.5,10.0,,,,9.3,5.6,3.1,5.4,Ballpark + Lineup context,True,0.6725000000000001,0.6725000000000001
33,Carter Jensen,Kansas City Royals,Boston Red Sox,Sonny Gray,1,Fenway Park,92.0,8.9,Excellent,9.8,5.9,4.5,5.9,5.1,6.6,10.0,71.78,5.2195164,295.0,6.8,8.0,3.6,8.0,Lineup context + Hitter skill,True,0.6694444444444445,0.6694444444444445
34,Bryan Reynolds,Pittsburgh Pirates,Chicago Cubs,Shota Imanaga,3,Wrigley Field,107.0,8.9,Excellent,6.5,4.0,8.5,4.0,5.8,6.7,8.0,74.3,9.5069763,124.0,7.7,9.2,8.5,9.5,Pitcher vulnerability + Lineup context,True,0.6676388888888888,0.6676388888888888
35,Hunter Goodman,Colorado Rockies,Detroit Tigers,Framber Valdez,3,Comerica Park,100.0,8.9,Excellent,8.2,9.9,3.2,9.9,5.5,6.6,8.0,73.94,6.2758471,96.0,7.7,9.2,8.3,7.5,Pitch-type matchup + Hitter skill,True,0.6640277777777778,0.6640277777777778
36,Oneil Cruz,Pittsburgh Pirates,Chicago Cubs,Shota Imanaga,2,Wrigley Field,107.0,8.8,Excellent,8.6,3.6,8.5,3.6,5.8,6.7,9.0,74.3,9.5069763,124.0,3.6,8.3,1.9,2.6,Lineup context + Hitter skill,True,0.6594444444444443,0.6594444444444443
37,Manny Machado,San Diego Padres,San Francisco Giants,Anthony Molina,3,Oracle Park,139.0,8.8,Excellent,6.6,9.3,6.2,9.3,7.3,6.2,8.0,66.02,15.6585492,280.0,9.5,6.3,6.0,3.0,Recent power + Pitch-type matchup,True,0.6588888888888889,0.6588888888888889
38,Brooks Lee,Minnesota Twins,Cleveland Guardians,Parker Messick,2,Target Field,113.0,8.8,Excellent,8.3,8.3,3.9,8.3,6.1,5.5,9.0,,,,7.7,7.7,8.7,7.5,Lineup context + Hitter skill,True,0.6583333333333333,0.6583333333333333
39,Ryan Vilade,Tampa Bay Rays,Houston Astros,Miguel Ullola,2,Tropicana Field,107.0,8.7,Excellent,3.5,9.1,9.5,9.1,5.8,6.5,9.0,81.5,2.8583066,141.0,3.6,5.8,9.9,9.0,Pitcher vulnerability + Pitch-type matchup,True,0.6573611111111111,0.6573611111111111
40,Ben Rice,New York Yankees,New York Mets,Nolan McLean,1,Yankee Stadium,117.0,8.7,Excellent,9.6,9.4,2.2,9.4,6.3,6.5,10.0,76.28,4.6602825,325.0,6.8,6.9,4.6,6.5,Lineup context + Hitter skill,True,0.6566666666666667,0.6566666666666667
41,Max Muncy,Los Angeles Dodgers,Miami Marlins,Ryan Gusto,4,loanDepot park,135.0,8.7,Excellent,9.2,8.0,4.9,8.0,7.1,6.6,7.0,75.38,7.0214923,207.0,3.6,4.7,5.4,4.7,Hitter skill + Pitch-type matchup,True,0.6566666666666666,0.6566666666666666
42,Nathaniel Lowe,Cleveland Guardians,Minnesota Twins,Taj Bradley,6,Target Field,113.0,8.6,Excellent,9.0,5.3,6.5,5.3,6.1,5.5,5.0,,,,8.6,4.8,5.7,5.8,Hitter skill + Recent power,True,0.65375,0.65375
43,Denzer Guzman,Los Angeles Angels,Washington Nationals,Cade Cavalli,8,Nationals Park,105.0,8.6,Excellent,9.9,5.0,6.9,5.0,5.7,6.5,3.0,78.25999999999999,3.728226,73.0,3.6,6.7,4.4,3.4,Hitter skill + Pitcher vulnerability,True,0.6537499999999999,0.6537499999999999
44,CJ Abrams,Washington Nationals,Los Angeles Angels,Yusei Kikuchi,4,Nationals Park,105.0,8.6,Excellent,7.0,6.1,8.9,6.1,5.7,6.5,7.0,78.25999999999999,3.728226,73.0,6.8,5.0,1.7,4.6,Pitcher vulnerability + Hitter skill,True,0.6531944444444443,0.6531944444444443
45,Riley Greene,Detroit Tigers,Colorado Rockies,Mason Adams,4,Comerica Park,100.0,8.5,Strong,3.8,7.3,9.9,7.3,5.5,6.6,7.0,73.94,6.2758471,96.0,9.9,9.9,7.8,4.5,Pitcher vulnerability + Recent power,True,0.6520833333333333,0.6520833333333333
46,William Contreras,Milwaukee Brewers,Cincinnati Reds,Andrew Abbott,3,American Family Field,88.0,8.5,Strong,9.1,4.5,5.9,4.5,5.0,6.7,8.0,73.22,9.5069763,146.0,6.5,4.9,6.7,7.9,Hitter skill + Lineup context,True,0.6488888888888888,0.6488888888888888
47,Salvador Perez,Kansas City Royals,Boston Red Sox,Sonny Gray,4,Fenway Park,92.0,8.5,Strong,8.0,8.0,4.5,8.0,5.1,6.6,7.0,71.78,5.2195164,295.0,6.8,9.1,8.4,6.8,Hitter skill + Pitch-type matchup,True,0.647361111111111,0.647361111111111
48,Luis Torrens,New York Mets,New York Yankees,Carlos Rodón,9,Yankee Stadium,117.0,8.4,Strong,7.9,9.4,4.2,9.4,6.3,6.5,2.0,76.28,4.6602825,325.0,3.6,9.9,9.9,8.9,Pitch-type matchup + Hitter skill,True,0.6423611111111112,0.6423611111111112
49,Nolan Arenado,Arizona Diamondbacks,Texas Rangers,TBD,4,Chase Field,213.0,8.4,Strong,8.8,5.5,5.5,5.5,10.0,5.5,7.0,,,,6.8,2.3,5.3,6.2,Ballpark + Hitter skill,True,0.6375000000000001,0.6375000000000001
50,Cedric Mullins,Tampa Bay Rays,Houston Astros,Miguel Ullola,9,Tropicana Field,107.0,8.4,Strong,4.8,8.8,9.5,8.8,5.8,6.5,2.0,81.5,2.8583066,141.0,3.6,8.3,4.7,6.7,Pitcher vulnerability + Pitch-type matchup,True,0.6359722222222222,0.6359722222222222
51,Munetaka Murakami,Chicago White Sox,St. Louis Cardinals,Matthew Liberatore,3,Busch Stadium,70.0,8.3,Strong,5.5,8.5,7.9,8.5,4.2,5.5,8.0,,,,9.3,4.4,1.9,9.3,Recent power + Pitch-type matchup,True,0.6354166666666666,0.6354166666666666
52,Nolan Gorman,St. Louis Cardinals,Chicago White Sox,Anthony Kay,6,Busch Stadium,70.0,8.3,Strong,7.7,8.7,5.2,8.7,4.2,5.5,5.0,,,,8.1,7.9,3.2,8.8,Pitch-type matchup + Recent power,True,0.6333333333333333,0.6333333333333333
