model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,production_score,ranking_score
53,Spencer Jones,New York Yankees,New York Mets,Nolan McLean,5,Yankee Stadium,117.0,8.3,Strong,9.9,9.5,2.2,9.5,6.3,6.5,6.0,76.28,4.6602825,325.0,3.6,6.7,2.8,8.2,Hitter skill + Pitch-type matchup,True,0.6315277777777778,0.6315277777777778
54,Ronald Acuña,Atlanta Braves,Philadelphia Phillies,Aaron Nola,2,Truist Park,100.0,8.2,Strong,3.7,8.0,8.2,8.0,5.5,6.7,9.0,81.14,9.4448392,176.0,9.5,7.7,7.6,8.8,Recent power + Lineup context,True,0.631111111111111,0.631111111111111
55,Nick Gonzales,Pittsburgh Pirates,Chicago Cubs,Shota Imanaga,4,Wrigley Field,107.0,8.2,Strong,8.4,3.9,8.5,3.9,5.8,6.7,7.0,74.3,9.5069763,124.0,3.6,3.8,2.2,2.9,Pitcher vulnerability + Hitter skill,True,0.6304166666666665,0.6304166666666665
56,Ketel Marte,Arizona Diamondbacks,Texas Rangers,TBD,2,Chase Field,213.0,8.2,Strong,7.8,5.5,5.5,5.5,10.0,5.5,9.0,,,,6.3,4.5,5.6,7.7,Ballpark + Lineup context,True,0.6298611111111112,0.6298611111111112
57,Brian Serven,Athletics,Seattle Mariners,George Kirby,8,Sutter Health Park,100.0,8.1,Strong,5.8,9.0,7.5,9.0,5.5,5.5,3.0,,,,8.1,8.2,3.4,6.5,Pitch-type matchup + Recent power,True,0.6275000000000001,0.6275000000000001
58,Lawrence Butler,Athletics,Seattle Mariners,George Kirby,2,Sutter Health Park,100.0,8.1,Strong,5.6,9.2,7.5,9.2,5.5,5.5,9.0,,,,8.1,3.4,4.3,3.2,Pitch-type matchup + Lineup context,True,0.6275,0.6275
59,Ty France,San Diego Padres,San Francisco Giants,Anthony Molina,4,Oracle Park,139.0,8.1,Strong,6.0,9.0,6.2,9.0,7.3,6.2,7.0,66.02,15.6585492,280.0,3.6,6.9,7.2,6.8,Pitch-type matchup + Ballpark,True,0.6270833333333333,0.6270833333333333
60,Jake McCarthy,Colorado Rockies,Detroit Tigers,Framber Valdez,1,Comerica Park,100.0,8.0,Strong,9.4,6.3,3.2,6.3,5.5,6.6,10.0,73.94,6.2758471,96.0,6.5,7.6,7.3,4.5,Lineup context + Hitter skill,True,0.6268055555555555,0.6268055555555555
61,Cole Young,Seattle Mariners,Athletics,Jeffrey Springs,7,Sutter Health Park,100.0,8.0,Strong,5.9,7.1,9.2,7.1,5.5,5.5,4.0,,,,3.6,9.0,4.8,2.5,Pitcher vulnerability + Pitch-type matchup,True,0.6256944444444446,0.6256944444444446
62,Kyle Tucker,Los Angeles Dodgers,Miami Marlins,Ryan Gusto,6,loanDepot park,135.0,8.0,Strong,9.8,4.9,4.9,4.9,7.1,6.6,5.0,75.38,7.0214923,207.0,8.6,3.0,3.8,5.7,Hitter skill + Recent power,True,0.6251388888888889,0.6251388888888889
63,Lars Nootbaar,Arizona Diamondbacks,Texas Rangers,TBD,9,Chase Field,213.0,7.9,Strong,8.4,5.5,5.5,5.5,10.0,5.5,2.0,,,,3.6,8.6,6.9,7.8,Ballpark + Hitter skill,True,0.622638888888889,0.622638888888889
64,Vinnie Pasquantino,Kansas City Royals,Boston Red Sox,Sonny Gray,3,Fenway Park,92.0,7.9,Strong,7.6,5.4,4.5,5.4,5.1,6.6,8.0,71.78,5.2195164,295.0,9.1,8.7,9.8,9.6,Recent power + Lineup context,True,0.6216666666666666,0.6216666666666666
65,Josh Bell,Minnesota Twins,Cleveland Guardians,Parker Messick,4,Target Field,113.0,7.9,Strong,8.7,6.9,3.9,6.9,6.1,5.5,7.0,,,,7.7,5.8,6.8,7.5,Hitter skill + Recent power,True,0.6213888888888889,0.6213888888888889
66,Francisco Lindor,New York Mets,New York Yankees,Carlos Rodón,1,Yankee Stadium,117.0,7.8,Strong,6.0,9.1,4.2,9.1,6.3,6.5,10.0,76.28,4.6602825,325.0,9.0,7.7,6.6,9.6,Lineup context + Pitch-type matchup,True,0.6209722222222223,0.6209722222222223
67,Brett Callahan,Detroit Tigers,Colorado Rockies,Mason Adams,6,Comerica Park,100.0,7.8,Strong,5.1,4.1,9.9,4.1,5.5,6.6,5.0,73.94,6.2758471,96.0,3.6,8.5,8.7,7.4,Pitcher vulnerability + Weather,True,0.6147222222222222,0.6147222222222222
68,Pete Crow-Armstrong,Chicago Cubs,Pittsburgh Pirates,Wilber Dotel,1,Wrigley Field,107.0,7.8,Strong,7.5,9.7,1.5,9.7,5.8,6.7,10.0,74.3,9.5069763,124.0,9.0,8.7,7.9,9.3,Lineup context + Pitch-type matchup,True,0.6126388888888888,0.6126388888888888
69,Miguel Vargas,Chicago White Sox,St. Louis Cardinals,Matthew Liberatore,2,Busch Stadium,70.0,7.7,Strong,6.3,6.0,7.9,6.0,4.2,5.5,9.0,,,,7.2,5.1,2.8,6.5,Lineup context + Pitcher vulnerability,True,0.6122222222222222,0.6122222222222222
70,Alec Burleson,St. Louis Cardinals,Chicago White Sox,Anthony Kay,3,Busch Stadium,70.0,7.7,Strong,7.0,7.1,5.2,7.1,4.2,5.5,8.0,,,,6.3,7.0,8.6,8.6,Lineup context + Pitch-type matchup,True,0.6104166666666667,0.6104166666666667
71,Joe Mack,Miami Marlins,Los Angeles Dodgers,TBD,9,loanDepot park,135.0,7.7,Strong,9.5,5.5,5.5,5.5,7.1,6.6,2.0,75.38,7.0214923,207.0,3.6,2.3,8.2,2.2,Hitter skill + Ballpark,True,0.6051388888888888,0.6051388888888888
72,Marcus Semien,New York Mets,New York Yankees,Carlos Rodón,6,Yankee Stadium,117.0,7.6,Strong,10.0,7.1,4.2,7.1,6.3,6.5,5.0,76.28,4.6602825,325.0,3.6,2.0,3.3,2.6,Hitter skill + Pitch-type matchup,True,0.6040277777777778,0.6040277777777778
73,Owen Caissie,Miami Marlins,Los Angeles Dodgers,TBD,7,loanDepot park,135.0,7.6,Strong,9.4,5.5,5.5,5.5,7.1,6.6,4.0,75.38,7.0214923,207.0,3.6,4.0,4.0,1.9,Hitter skill + Ballpark,True,0.60125,0.60125
74,Tommy White,Athletics,Seattle Mariners,George Kirby,5,Sutter Health Park,100.0,7.6,Strong,7.9,3.3,7.5,3.3,5.5,5.5,6.0,,,,3.6,8.9,4.2,4.8,Hitter skill + Pitcher vulnerability,True,0.5995833333333334,0.5995833333333334
75,Jakob Marsee,Miami Marlins,Los Angeles Dodgers,TBD,5,loanDepot park,135.0,7.5,Strong,8.0,5.5,5.5,5.5,7.1,6.6,6.0,75.38,7.0214923,207.0,3.6,3.9,4.9,8.1,Hitter skill + Ballpark,True,0.5948611111111111,0.5948611111111111
76,Jarren Duran,Boston Red Sox,Kansas City Royals,Seth Lugo,7,Fenway Park,92.0,7.5,Strong,5.9,5.1,7.2,5.1,5.1,6.6,4.0,71.78,5.2195164,295.0,7.7,7.4,8.7,8.8,Recent power + Pitcher vulnerability,True,0.5936111111111112,0.5936111111111112
77,Dillon Dingler,Detroit Tigers,Colorado Rockies,Mason Adams,5,Comerica Park,100.0,7.5,Strong,4.1,5.9,9.9,5.9,5.5,6.6,6.0,73.94,6.2758471,96.0,3.6,2.5,9.4,6.6,Pitcher vulnerability + Weather,True,0.5915277777777778,0.5915277777777778
78,Max Muncy,Athletics,Seattle Mariners,George Kirby,6,Sutter Health Park,100.0,7.4,Above average,4.6,8.2,7.5,8.2,5.5,5.5,5.0,,,,9.6,8.0,4.0,5.7,Recent power + Pitch-type matchup,True,0.5898611111111112,0.5898611111111112
79,Tim Tawa,Arizona Diamondbacks,Texas Rangers,TBD,5,Chase Field,213.0,7.4,Above average,6.9,5.5,5.5,5.5,10.0,5.5,6.0,,,,8.1,8.0,5.9,3.6,Ballpark + Recent power,True,0.5894444444444445,0.5894444444444445
80,Ezequiel Duran,Texas Rangers,Arizona Diamondbacks,TBD,3,Chase Field,213.0,7.4,Above average,6.2,5.5,5.5,5.5,10.0,5.5,8.0,,,,6.8,6.2,7.4,7.8,Ballpark + Lineup context,True,0.5880555555555556,0.5880555555555556
81,Konnor Griffin,Pittsburgh Pirates,Chicago Cubs,Shota Imanaga,1,Wrigley Field,107.0,7.3,Above average,4.4,5.8,8.5,5.8,5.8,6.7,10.0,74.3,9.5069763,124.0,3.6,5.0,8.5,5.4,Lineup context + Pitcher vulnerability,True,0.5870833333333333,0.5870833333333333
82,Joey Ortiz,Milwaukee Brewers,Cincinnati Reds,Andrew Abbott,7,American Family Field,88.0,7.3,Above average,6.7,7.3,5.9,7.3,5.0,6.7,4.0,73.22,9.5069763,146.0,3.6,2.8,9.8,8.2,Pitch-type matchup + Hitter skill,True,0.5866666666666667,0.5866666666666667
83,Mickey Gasper,Boston Red Sox,Kansas City Royals,Seth Lugo,2,Fenway Park,92.0,7.3,Above average,6.7,4.0,7.2,4.0,5.1,6.6,9.0,71.78,5.2195164,295.0,7.2,6.5,2.9,5.6,Lineup context + Pitcher vulnerability,True,0.5863888888888887,0.5863888888888887
84,James Wood,Washington Nationals,Los Angeles Angels,Yusei Kikuchi,1,Nationals Park,105.0,7.2,Above average,1.4,9.6,8.9,9.6,5.7,6.5,10.0,78.25999999999999,3.728226,73.0,3.6,7.4,7.6,10.0,Lineup context + Pitch-type matchup,True,0.5852777777777778,0.5852777777777778
85,Cody Bellinger,New York Yankees,New York Mets,Nolan McLean,2,Yankee Stadium,117.0,7.2,Above average,8.9,4.6,2.2,4.6,6.3,6.5,9.0,76.28,4.6602825,325.0,7.2,9.6,8.6,7.7,Lineup context + Hitter skill,True,0.5823611111111111,0.5823611111111111
86,Mike Trout,Los Angeles Angels,Washington Nationals,Cade Cavalli,2,Nationals Park,105.0,7.2,Above average,7.9,3.0,6.9,3.0,5.7,6.5,9.0,78.25999999999999,3.728226,73.0,3.6,6.1,1.8,5.0,Lineup context + Hitter skill,True,0.5804166666666666,0.5804166666666666
87,Kyle Stowers,Miami Marlins,Los Angeles Dodgers,TBD,1,loanDepot park,135.0,7.1,Above average,4.9,5.5,5.5,5.5,7.1,6.6,10.0,75.38,7.0214923,207.0,7.7,9.2,9.5,9.8,Lineup context + Recent power,True,0.5791666666666667,0.5791666666666667
88,Graham Pauley,Miami Marlins,Los Angeles Dodgers,TBD,8,loanDepot park,135.0,7.1,Above average,7.4,5.5,5.5,5.5,7.1,6.6,3.0,75.38,7.0214923,207.0,8.5,6.0,5.8,5.2,Recent power + Hitter skill,True,0.5790277777777777,0.5790277777777777
89,Elly De La Cruz,Cincinnati Reds,Milwaukee Brewers,Dustin May,2,American Family Field,88.0,7.1,Above average,8.3,5.0,2.5,5.0,5.0,6.7,9.0,73.22,9.5069763,146.0,10.0,9.3,5.9,9.7,Recent power + Lineup context,True,0.57875,0.57875
90,Nick Fortes,Tampa Bay Rays,Houston Astros,Miguel Ullola,8,Tropicana Field,107.0,7.0,Above average,4.8,6.6,9.5,6.6,5.8,6.5,3.0,81.5,2.8583066,141.0,3.6,4.2,7.0,1.8,Pitcher vulnerability + Pitch-type matchup,True,0.5769444444444444,0.5769444444444444
91,Alika Williams,Athletics,Seattle Mariners,George Kirby,9,Sutter Health Park,100.0,7.0,Above average,6.6,6.2,7.5,6.2,5.5,5.5,2.0,,,,8.4,1.4,8.0,1.8,Recent power + Pitcher vulnerability,True,0.5744444444444444,0.5744444444444444
92,Luis Campusano,San Diego Padres,San Francisco Giants,Anthony Molina,6,Oracle Park,139.0,7.0,Above average,7.2,4.1,6.2,4.1,7.3,6.2,5.0,66.02,15.6585492,280.0,9.6,8.5,2.4,3.4,Recent power + Ballpark,True,0.5718055555555556,0.5718055555555556
