target_date,generated_at_utc,history_through,board_mode,weather_source,batter,game_pk,opposing_pitcher_id,model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,production_score,ranking_score
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,668901,823496,543037.0,14,Mark Vientos,New York Mets,New York Yankees,Gerrit Cole,4,Yankee Stadium,117.0,9.6,Elite,7.7,9.8,8.2,9.8,6.3,6.7,7.0,80.24000000000001,10.1283473,162.0,9.0,5.7,7.2,8.1,Pitch-type matchup + Recent power,True,0.7727777777777778,0.7727777777777778
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,800050,823657,687570.0,15,Chase DeLauter,Cleveland Guardians,Minnesota Twins,Connor Prielipp,2,Target Field,113.0,9.5,Elite,10.0,5.9,7.0,5.9,6.1,6.8,9.0,73.94,12.9245168,307.0,7.2,5.9,9.7,9.4,Hitter skill + Lineup context,True,0.7708333333333334,0.7708333333333334
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,682987,823496,804267.0,16,Spencer Jones,New York Yankees,New York Mets,Zac Thornton,5,Yankee Stadium,117.0,9.5,Elite,7.8,9.8,8.6,9.8,6.3,6.7,6.0,80.24000000000001,10.1283473,162.0,3.4,8.6,6.0,9.0,Pitch-type matchup + Pitcher vulnerability,True,0.7691666666666667,0.7691666666666667
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,605141,823819,663969.0,17,Mookie Betts,Los Angeles Dodgers,Miami Marlins,Tyler Phillips,3,loanDepot park,135.0,9.5,Elite,9.4,5.2,8.9,5.2,7.1,6.6,8.0,84.56,8.077823,93.0,9.0,6.4,5.0,6.6,Hitter skill + Recent power,True,0.7691666666666666,0.7691666666666666
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,670623,822927,693855.0,18,Isaac Paredes,Houston Astros,Tampa Bay Rays,Ian Seymour,3,Tropicana Field,107.0,9.4,Excellent,9.3,6.3,9.9,6.3,5.8,5.8,8.0,86.53999999999999,2.485484,333.0,6.4,2.1,2.6,6.2,Pitcher vulnerability + Hitter skill,True,0.759861111111111,0.759861111111111
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,694192,823737,663903.0,19,Jackson Chourio,Milwaukee Brewers,Cincinnati Reds,Brady Singer,1,American Family Field,88.0,9.4,Excellent,9.2,7.3,6.3,7.3,5.0,6.7,10.0,82.4,9.8797989,288.0,8.7,8.7,8.7,8.5,Lineup context + Hitter skill,True,0.7569444444444444,0.7569444444444444
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,672960,822768,680694.0,20,Kazuma Okamoto,Toronto Blue Jays,Baltimore Orioles,Kyle Bradish,6,Rogers Centre,69.0,9.4,Excellent,9.0,7.8,7.6,7.8,4.1,6.6,5.0,77.54,6.027298699999999,135.0,9.2,9.8,6.2,7.6,Recent power + Hitter skill,True,0.7538888888888888,0.7538888888888888
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,686797,823657,682982.0,21,Brooks Lee,Minnesota Twins,Cleveland Guardians,Daniel Espino,7,Target Field,113.0,9.3,Excellent,9.7,9.5,5.4,9.5,6.1,6.8,4.0,73.94,12.9245168,307.0,7.2,8.4,9.6,8.1,Hitter skill + Pitch-type matchup,True,0.7531944444444445,0.7531944444444445
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,661388,823737,663903.0,22,William Contreras,Milwaukee Brewers,Cincinnati Reds,Brady Singer,3,American Family Field,88.0,9.3,Excellent,8.9,8.2,6.3,8.2,5.0,6.7,8.0,82.4,9.8797989,288.0,8.9,7.1,8.7,8.7,Hitter skill + Recent power,True,0.7458333333333332,0.7458333333333332
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,665489,822768,680694.0,23,Vladimir Guerrero Jr.,Toronto Blue Jays,Baltimore Orioles,Kyle Bradish,3,Rogers Centre,69.0,9.3,Excellent,8.8,7.3,7.6,7.3,4.1,6.6,8.0,77.54,6.027298699999999,135.0,3.4,7.2,9.8,9.8,Hitter skill + Lineup context,True,0.7447222222222222,0.7447222222222222
