target_date,generated_at_utc,history_through,board_mode,weather_source,batter,game_pk,opposing_pitcher_id,model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,production_score,ranking_score
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,641355,823656,665152,1,Cody Bellinger,New York Yankees,Minnesota Twins,Dean Kremer,2,Target Field,113,10.0,Elite,9.8,8.3,9.3,8.3,6.1,5.6,9.0,59.0,13.4837507,173.0,9.8,8.4,9.1,8.5,Hitter skill + Recent power,True,0.8763888888888888,0.8763888888888888
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,700250,823656,665152,2,Ben Rice,New York Yankees,Minnesota Twins,Dean Kremer,1,Target Field,113,9.9,Elite,9.3,9.5,9.3,9.5,6.1,5.6,10.0,59.0,13.4837507,173.0,9.1,8.1,6.6,8.5,Lineup context + Pitch-type matchup,True,0.8706944444444444,0.8706944444444444
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,624413,823575,804636,3,Pete Alonso,Baltimore Orioles,New York Mets,Jonah Tong,2,Citi Field,101,9.9,Elite,8.1,9.7,9.8,9.7,5.5,6.0,9.0,68.18,8.5749198,351.0,8.5,8.6,8.7,9.5,Pitcher vulnerability + Pitch-type matchup,False,0.8537499999999999,0.8537499999999999
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,671277,823656,665152,4,Luis García Jr.,New York Yankees,Minnesota Twins,Dean Kremer,4,Target Field,113,9.8,Elite,8.8,9.4,9.3,9.4,6.1,5.6,7.0,59.0,13.4837507,173.0,9.2,9.5,9.0,7.8,Pitch-type matchup + Pitcher vulnerability,True,0.8490277777777777,0.8490277777777777
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,691723,823575,804636,5,Coby Mayo,Baltimore Orioles,New York Mets,Jonah Tong,4,Citi Field,101,9.8,Elite,9.0,8.8,9.8,8.8,5.5,6.0,7.0,68.18,8.5749198,351.0,8.9,9.6,6.9,6.6,Pitcher vulnerability + Hitter skill,False,0.8438888888888889,0.8438888888888889
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,696100,824308,663554,6,Hunter Goodman,Colorado Rockies,San Diego Padres,Casey Mize,3,Coors Field,207,9.7,Elite,9.2,9.9,7.4,9.9,10.0,6.8,8.0,83.66,22.120807600000003,278.0,8.9,5.8,6.9,7.0,Ballpark + Pitch-type matchup,False,0.8230555555555554,0.8230555555555554
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,687263,823981,807739,7,Zach Neto,Los Angeles Angels,Seattle Mariners,Kade Anderson,1,Angel Stadium,101,9.7,Elite,9.9,6.5,8.8,6.5,5.5,5.5,10.0,,,,9.6,8.0,5.6,8.2,Lineup context + Hitter skill,True,0.8191666666666668,0.8191666666666668
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,621566,824629,656849,8,Matt Olson,Atlanta Braves,Chicago Cubs,David Peterson,3,Wrigley Field,107,9.6,Elite,10.0,9.1,6.9,9.1,5.8,6.1,8.0,69.98,12.3652829,132.0,8.9,6.1,9.7,8.9,Hitter skill + Pitch-type matchup,False,0.816111111111111,0.816111111111111
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,691181,823656,701542,9,Emmanuel Rodriguez,Minnesota Twins,New York Yankees,Will Warren,7,Target Field,113,9.6,Elite,8.5,10.0,7.9,10.0,6.1,5.6,4.0,59.0,13.4837507,173.0,9.5,10.0,10.0,10.0,Pitch-type matchup + Recent power,True,0.810138888888889,0.810138888888889
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,665019,823656,701542,10,Kody Clemens,Minnesota Twins,New York Yankees,Will Warren,3,Target Field,113,9.5,Elite,8.8,8.3,7.9,8.3,6.1,5.6,8.0,59.0,13.4837507,173.0,9.2,8.5,9.6,9.4,Recent power + Hitter skill,True,0.8023611111111111,0.8023611111111111
