model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,input_model_rank,v2_score,ranking_score,v2_rank
1,Joshua Báez,St. Louis Cardinals,Colorado Rockies,Tanner Gordon,6,Coors Field,207,10.0,Elite,7.9,9.9,9.0,9.9,10.0,5.9,5.0,87.26,4.349597,46.0,9.7,6.0,7.0,8.6,Ballpark + Pitch-type matchup,False,4,0.8241666666666666,0.8241666666666666,1
2,Ronald Acuña Jr.,Atlanta Braves,Philadelphia Phillies,Aaron Nola,2,Citizens Bank Park,115,10.0,Elite,9.6,8.4,8.4,8.4,6.2,6.6,9.0,77.18,5.530201900000001,24.0,8.9,7.4,5.5,7.8,Hitter skill + Lineup context,False,1,0.818888888888889,0.818888888888889,2
3,Daylen Lile,Washington Nationals,Los Angeles Dodgers,Justin Wrobleski,6,UNIQLO Field at Dodger Stadium,124,9.9,Elite,8.5,7.5,9.3,7.5,6.6,5.5,5.0,,,,9.4,9.5,8.2,8.3,Recent power + Pitcher vulnerability,False,10,0.8144444444444444,0.8144444444444444,3
4,Tyler Stephenson,Cincinnati Reds,Milwaukee Brewers,Kyle Harrison,4,Great American Ball Park,81,9.9,Elite,8.4,7.3,9.9,7.3,4.6,6.6,7.0,78.25999999999999,8.2642343,50.0,9.2,9.9,8.2,4.8,Pitcher vulnerability + Recent power,False,9,0.8138888888888889,0.8138888888888889,4
5,Corey Seager,Texas Rangers,Tampa Bay Rays,Ian Seymour,2,Globe Life Field,94,9.9,Elite,9.0,8.2,8.1,8.2,5.2,5.3,9.0,96.08,3.9767744,72.0,6.9,8.8,9.5,9.4,Hitter skill + Lineup context,False,23,0.8069444444444446,0.8069444444444446,5
6,Alec Burleson,St. Louis Cardinals,Colorado Rockies,Tanner Gordon,3,Coors Field,207,9.8,Elite,10.0,7.3,9.0,7.3,10.0,5.9,8.0,87.26,4.349597,46.0,3.4,4.7,8.7,8.2,Hitter skill + Ballpark,False,3,0.8052777777777779,0.8052777777777779,6
7,Sal Stewart,Cincinnati Reds,Milwaukee Brewers,Kyle Harrison,3,Great American Ball Park,81,9.8,Elite,9.8,7.2,9.9,7.2,4.6,6.6,8.0,78.25999999999999,8.2642343,50.0,3.4,6.7,3.8,8.5,Pitcher vulnerability + Hitter skill,False,5,0.7997222222222223,0.7997222222222223,7
8,Jordan Walker,St. Louis Cardinals,Colorado Rockies,Tanner Gordon,4,Coors Field,207,9.8,Elite,7.8,7.7,9.0,7.7,10.0,5.9,7.0,87.26,4.349597,46.0,5.9,9.6,9.6,8.8,Ballpark + Pitcher vulnerability,False,11,0.7986111111111112,0.7986111111111112,8
9,Pete Crow-Armstrong,Chicago Cubs,Miami Marlins,Tyler Phillips,1,loanDepot park,135,9.7,Elite,8.6,9.8,7.2,9.8,7.1,6.6,10.0,84.56,5.0331051,225.0,6.1,9.0,7.6,8.4,Lineup context + Pitch-type matchup,False,6,0.7952777777777778,0.7952777777777778,9
10,Bobby Witt Jr.,Kansas City Royals,Toronto Blue Jays,Spencer Arrighetti,2,Kauffman Stadium,168,9.7,Elite,9.2,7.0,8.7,7.0,8.6,5.3,9.0,92.12,2.7340324000000003,159.0,6.9,7.9,6.3,8.6,Hitter skill + Lineup context,False,8,0.7897222222222222,0.7897222222222222,10
11,Juan Brito,Cincinnati Reds,Milwaukee Brewers,Kyle Harrison,8,Great American Ball Park,81,9.7,Elite,9.3,10.0,9.9,10.0,4.6,6.6,3.0,78.25999999999999,8.2642343,50.0,9.6,1.5,1.2,3.0,Pitch-type matchup + Pitcher vulnerability,False,2,0.7869444444444444,0.7869444444444444,11
12,Eugenio Suárez,Cincinnati Reds,Milwaukee Brewers,Kyle Harrison,5,Great American Ball Park,81,9.6,Elite,6.3,9.4,9.9,9.4,4.6,6.6,6.0,78.25999999999999,8.2642343,50.0,9.5,4.8,8.8,7.3,Pitcher vulnerability + Recent power,False,27,0.7841666666666667,0.7841666666666667,12
13,Leo Bernal,St. Louis Cardinals,Colorado Rockies,Tanner Gordon,5,Coors Field,207,9.6,Elite,6.4,9.3,9.0,9.3,10.0,5.9,6.0,87.26,4.349597,46.0,6.9,6.2,9.8,10.0,Ballpark + Pitch-type matchup,False,20,0.7825000000000001,0.7825000000000001,13
14,Fernando Tatis Jr.,San Diego Padres,New York Yankees,Gerrit Cole,1,Petco Park,105,9.6,Elite,9.1,8.3,6.3,8.3,5.7,5.5,10.0,,,,9.2,9.6,9.8,9.2,Lineup context + Recent power,False,25,0.7797222222222222,0.7797222222222222,14
15,Salvador Perez,Kansas City Royals,Toronto Blue Jays,Spencer Arrighetti,4,Kauffman Stadium,168,9.5,Elite,9.3,5.7,8.7,5.7,8.6,5.3,7.0,92.12,2.7340324000000003,159.0,7.5,9.3,8.5,6.5,Hitter skill + Pitcher vulnerability,False,13,0.7733333333333333,0.7733333333333333,15
16,Jake Burger,Texas Rangers,Tampa Bay Rays,Ian Seymour,6,Globe Life Field,94,9.5,Elite,9.8,8.2,8.1,8.2,5.2,5.3,5.0,96.08,3.9767744,72.0,3.4,9.0,6.6,6.9,Hitter skill + Pitch-type matchup,False,29,0.7697222222222223,0.7697222222222223,16
17,Christian Encarnacion-Strand,Baltimore Orioles,Boston Red Sox,Payton Tolle,4,Oriole Park at Camden Yards,110,9.5,Elite,8.8,8.7,6.6,8.7,6.0,6.5,7.0,78.98,4.8466938,34.0,8.2,9.9,8.1,7.6,Hitter skill + Pitch-type matchup,False,22,0.7641666666666667,0.7641666666666667,17
18,Vinnie Pasquantino,Kansas City Royals,Toronto Blue Jays,Spencer Arrighetti,3,Kauffman Stadium,168,9.4,Excellent,9.5,3.8,8.7,3.8,8.6,5.3,8.0,92.12,2.7340324000000003,159.0,6.9,8.5,9.7,9.5,Hitter skill + Pitcher vulnerability,False,18,0.7602777777777777,0.7602777777777777,18
19,Thomas Saggese,St. Louis Cardinals,Colorado Rockies,Tanner Gordon,8,Coors Field,207,9.4,Excellent,6.9,9.0,9.0,9.0,10.0,5.9,3.0,87.26,4.349597,46.0,9.9,9.2,3.1,6.1,Ballpark + Recent power,False,14,0.7566666666666667,0.7566666666666667,19
20,Elly De La Cruz,Cincinnati Reds,Milwaukee Brewers,Kyle Harrison,2,Great American Ball Park,81,9.4,Excellent,8.7,4.3,9.9,4.3,4.6,6.6,9.0,78.25999999999999,8.2642343,50.0,6.9,8.8,4.1,9.3,Pitcher vulnerability + Lineup context,False,19,0.7527777777777779,0.7527777777777779,20
21,Bo Bichette,New York Mets,San Francisco Giants,Cesar Perdomo,3,Citi Field,101,9.3,Excellent,9.0,5.2,9.6,5.2,5.5,6.5,8.0,73.58,3.728226,9.0,6.9,7.6,6.1,5.5,Pitcher vulnerability + Hitter skill,False,17,0.7519444444444444,0.7519444444444444,21
22,JJ Bleday,Cincinnati Reds,Milwaukee Brewers,Kyle Harrison,6,Great American Ball Park,81,9.3,Excellent,8.4,5.6,9.9,5.6,4.6,6.6,5.0,78.25999999999999,8.2642343,50.0,7.5,8.8,5.4,4.3,Pitcher vulnerability + Hitter skill,False,24,0.7413888888888889,0.7413888888888889,22
23,Riley Greene,Detroit Tigers,Cleveland Guardians,Gavin Williams,4,Progressive Field,60,9.3,Excellent,8.7,6.8,7.5,6.8,3.7,6.7,7.0,74.3,10.0662102,46.0,8.9,10.0,8.8,4.4,Recent power + Hitter skill,False,34,0.7372222222222221,0.7372222222222221,23
