model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,input_model_rank,v2_score,ranking_score,v2_rank
16,Julio Rodríguez,Seattle Mariners,Athletics,Jeffrey Springs,5,Sutter Health Park,100.0,9.5,Elite,9.3,6.0,9.2,6.0,5.5,5.5,6.0,,,,3.6,6.6,6.5,7.0,Hitter skill + Pitcher vulnerability,True,17,0.7391666666666666,0.7391666666666666,16
17,Fernando Tatis,San Diego Padres,San Francisco Giants,Anthony Molina,1,Oracle Park,139.0,9.5,Elite,8.1,7.4,6.2,7.4,7.3,6.2,10.0,66.02,15.6585492,280.0,7.7,9.9,10.0,9.8,Lineup context + Hitter skill,True,15,0.7375,0.7375,17
18,Keibert Ruiz,Washington Nationals,Los Angeles Angels,Yusei Kikuchi,7,Nationals Park,105.0,9.4,Excellent,9.2,4.9,8.9,4.9,5.7,6.5,4.0,78.25999999999999,3.728226,73.0,3.6,5.9,9.3,7.3,Hitter skill + Pitcher vulnerability,True,22,0.7197222222222222,0.7197222222222222,18
19,Coby Mayo,Baltimore Orioles,Toronto Blue Jays,Max Scherzer,3,Rogers Centre,69.0,9.4,Excellent,8.9,9.7,5.5,9.7,4.1,5.9,8.0,66.74000000000001,4.7845567,101.0,9.7,9.0,5.8,4.2,Pitch-type matchup + Recent power,True,32,0.7186111111111112,0.7186111111111112,19
20,Jose Siri,Los Angeles Angels,Washington Nationals,Cade Cavalli,3,Nationals Park,105.0,9.4,Excellent,9.3,6.2,6.9,6.2,5.7,6.5,8.0,78.25999999999999,3.728226,73.0,3.6,9.6,8.5,8.0,Hitter skill + Lineup context,True,24,0.717777777777778,0.717777777777778,20
21,Bobby Witt,Kansas City Royals,Boston Red Sox,Sonny Gray,2,Fenway Park,92.0,9.3,Excellent,9.7,7.8,4.5,7.8,5.1,6.6,9.0,71.78,5.2195164,295.0,6.5,8.2,6.4,9.4,Hitter skill + Lineup context,True,38,0.6927777777777778,0.6927777777777778,21
22,Riley Greene,Detroit Tigers,Colorado Rockies,Mason Adams,4,Comerica Park,100.0,9.3,Excellent,3.8,7.3,9.9,7.3,5.5,6.6,7.0,73.94,6.2758471,96.0,9.9,9.9,7.8,4.5,Pitcher vulnerability + Recent power,True,64,0.6886111111111112,0.6886111111111112,22
23,Ryan Vilade,Tampa Bay Rays,Houston Astros,Miguel Ullola,2,Tropicana Field,107.0,9.3,Excellent,3.5,9.1,9.5,9.1,5.8,6.5,9.0,81.5,2.8583066,141.0,3.6,5.8,9.9,9.0,Pitcher vulnerability + Pitch-type matchup,True,68,0.6877777777777778,0.6877777777777778,23
24,Wilyer Abreu,Boston Red Sox,Kansas City Royals,Seth Lugo,3,Fenway Park,92.0,9.2,Excellent,8.5,7.4,7.2,7.4,5.1,6.6,8.0,71.78,5.2195164,295.0,3.6,5.4,7.7,5.9,Hitter skill + Lineup context,True,35,0.6875000000000001,0.6875000000000001,24
25,Kody Clemens,Minnesota Twins,Cleveland Guardians,Parker Messick,3,Target Field,113.0,9.2,Excellent,8.8,8.8,3.9,8.8,6.1,5.5,8.0,,,,7.7,9.5,9.5,8.2,Hitter skill + Pitch-type matchup,True,44,0.6872222222222223,0.6872222222222223,25
