target_date,generated_at_utc,history_through,board_mode,weather_source,batter,game_pk,opposing_pitcher_id,model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,production_score,ranking_score,pitch_matchup_hr_rate,pitch_matchup_pitcher_hr_allowed_rate,pitch_mix_coverage,model_version,rescored_at_utc,rescore_note,original_v1_rank,rank_improvement
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,700250,823656,665152,1,Ben Rice,New York Yankees,Minnesota Twins,Dean Kremer,1,Target Field,113,10.0,Elite,9.3,9.9,9.3,9.9,6.1,5.6,10.0,59.0,13.4837507,173.0,9.1,8.1,6.6,8.5,Lineup context + Pitch-type matchup,True,0.8773611111111111,0.8773611111111111,0.013006023437137948,0.010552176668556222,0.3627438004197149,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,2,1
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,696100,824308,663554,2,Hunter Goodman,Colorado Rockies,San Diego Padres,Casey Mize,3,Coors Field,207,9.9,Elite,9.2,9.9,9.1,9.9,10.0,6.8,8.0,83.66,22.120807600000003,278.0,8.9,5.8,6.9,7.0,Ballpark + Pitch-type matchup,False,0.8702777777777777,0.8702777777777777,0.014920308381203548,0.010443132967355254,0.3321149451169091,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,6,4
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,687263,823981,807739,3,Zach Neto,Los Angeles Angels,Seattle Mariners,Kade Anderson,1,Angel Stadium,101,9.9,Elite,9.9,9.5,8.7,9.5,5.5,5.5,10.0,,,,9.6,8.0,5.6,8.2,Lineup context + Hitter skill,True,0.866388888888889,0.866388888888889,0.011411102081859623,0.009132808118762294,0.28395402527008834,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,7,4
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,641355,823656,665152,4,Cody Bellinger,New York Yankees,Minnesota Twins,Dean Kremer,2,Target Field,113,9.8,Elite,9.8,7.0,9.3,7.0,6.1,5.6,9.0,59.0,13.4837507,173.0,9.8,8.4,9.1,8.5,Hitter skill + Recent power,True,0.854722222222222,0.854722222222222,0.008812603980997022,0.010552176668556222,0.27371945887572646,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,1,-3
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,671277,823656,665152,5,Luis García Jr.,New York Yankees,Minnesota Twins,Dean Kremer,4,Target Field,113,9.8,Elite,8.8,9.7,9.3,9.7,6.1,5.6,7.0,59.0,13.4837507,173.0,9.2,9.5,9.0,7.8,Pitch-type matchup + Pitcher vulnerability,True,0.8540277777777777,0.8540277777777777,0.011966142873288104,0.010552176668556222,0.3495283189040942,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,4,-1
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,669065,825034,669203,6,Kyle Stowers,Miami Marlins,Arizona Diamondbacks,Corbin Burnes,1,Chase Field,213,9.7,Elite,8.3,8.9,8.4,8.9,10.0,4.8,10.0,104.18,6.337984199999999,238.0,3.3,7.7,6.8,9.8,Ballpark + Lineup context,True,0.8,0.8,0.010479749268649634,0.009062793159317142,0.2510723240585166,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,56,50
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,665019,823656,701542,7,Kody Clemens,Minnesota Twins,New York Yankees,Will Warren,3,Target Field,113,9.7,Elite,8.8,9.4,7.0,9.4,6.1,5.6,8.0,59.0,13.4837507,173.0,9.2,8.5,9.6,9.4,Recent power + Hitter skill,True,0.7956944444444444,0.7956944444444444,0.011284006134611712,0.008124361561999555,0.4022891674769422,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,10,3
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,624413,823575,804636,8,Pete Alonso,Baltimore Orioles,New York Mets,Jonah Tong,2,Citi Field,101,9.6,Elite,8.1,9.8,7.6,9.8,5.5,6.0,9.0,68.18,8.5749198,351.0,8.5,8.6,8.7,9.5,Pitcher vulnerability + Pitch-type matchup,False,0.7943055555555555,0.7943055555555555,0.012023816851713314,0.008568456109651913,0.34640382720770146,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,3,-5
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,606192,824465,666157,9,Teoscar Hernández,Los Angeles Dodgers,Cincinnati Reds,Nick Lodolo,5,Great American Ball Park,81,9.6,Elite,9.5,7.1,8.1,7.1,4.6,6.6,6.0,75.74000000000001,7.3321778,78.0,7.9,9.6,7.2,8.6,Hitter skill + Recent power,False,0.7831944444444444,0.7831944444444444,0.008818953356316873,0.00905117100699287,0.2144645615763581,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,22,13
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,678246,824386,668909,10,Miguel Vargas,Chicago White Sox,Cleveland Guardians,Gavin Williams,3,Progressive Field,60,9.5,Elite,9.4,8.7,9.8,8.7,3.7,5.9,8.0,66.56,4.2253228,58.0,3.3,2.7,2.8,4.7,Hitter skill + Pitch-type matchup,False,0.7734722222222222,0.7734722222222222,0.01026148736775324,0.011261949860124928,0.4041401977473111,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,13,3
