model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,production_score,ranking_score
1,Ronald Acuña Jr.,Atlanta Braves,Tampa Bay Rays,Nick Martinez,2,Truist Park,100,10.0,Elite,9.9,9.4,9.6,9.4,5.5,6.5,9.0,82.94,4.5981454,157.0,9.5,7.0,7.1,9.1,Hitter skill + Pitcher vulnerability,False,0.8951388888888888,0.8951388888888888
2,Kyle Schwarber,Philadelphia Phillies,Houston Astros,Cristian Javier,1,Citizens Bank Park,115,9.9,Elite,9.5,8.4,8.7,8.4,6.2,6.1,10.0,87.61999999999999,10.3147586,265.0,9.8,7.7,5.3,8.1,Lineup context + Recent power,False,0.8398611111111111,0.8398611111111111
3,Corey Seager,Texas Rangers,Seattle Mariners,Logan Gilbert,2,T-Mobile Park,37,9.8,Elite,9.6,9.0,7.8,9.0,2.7,5.9,9.0,67.46,3.9767744,308.0,9.8,8.8,9.1,9.3,Recent power + Hitter skill,True,0.8274999999999999,0.8274999999999999
4,Jake Burger,Texas Rangers,Seattle Mariners,Logan Gilbert,6,T-Mobile Park,37,9.7,Elite,9.8,9.9,7.8,9.9,2.7,5.9,5.0,67.46,3.9767744,308.0,9.4,8.9,6.4,5.8,Pitch-type matchup + Hitter skill,True,0.7998611111111112,0.7998611111111112
5,Trea Turner,Philadelphia Phillies,Houston Astros,Cristian Javier,2,Citizens Bank Park,115,9.6,Elite,10.0,5.7,8.7,5.7,6.2,6.1,9.0,87.61999999999999,10.3147586,265.0,7.8,4.5,7.0,6.6,Hitter skill + Lineup context,False,0.7851388888888887,0.7851388888888887
6,Drake Baldwin,Atlanta Braves,Tampa Bay Rays,Nick Martinez,1,Truist Park,100,9.5,Elite,9.0,4.2,9.6,4.2,5.5,6.5,10.0,82.94,4.5981454,157.0,3.8,8.5,6.7,8.9,Lineup context + Pitcher vulnerability,False,0.7640277777777779,0.7640277777777779
7,Matt Olson,Atlanta Braves,Tampa Bay Rays,Nick Martinez,3,Truist Park,100,9.4,Excellent,7.2,9.1,9.6,9.1,5.5,6.5,8.0,82.94,4.5981454,157.0,3.8,6.3,6.2,6.2,Pitcher vulnerability + Pitch-type matchup,False,0.7520833333333333,0.7520833333333333
8,Junior Caminero,Tampa Bay Rays,Atlanta Braves,Martín Pérez,3,Truist Park,100,9.3,Excellent,9.7,8.6,4.2,8.6,5.5,6.5,8.0,82.94,4.5981454,157.0,9.3,7.6,8.5,10.0,Hitter skill + Recent power,False,0.7308333333333333,0.7308333333333333
9,Luis García,New York Yankees,Colorado Rockies,Ryan Feltner,4,Yankee Stadium,117,9.2,Excellent,8.6,9.6,6.0,9.6,6.3,6.6,7.0,84.56,6.21371,311.0,3.8,8.3,6.5,7.5,Pitch-type matchup + Hitter skill,True,0.7215277777777778,0.7215277777777778
10,Wyatt Langford,Texas Rangers,Seattle Mariners,Logan Gilbert,5,T-Mobile Park,37,9.1,Excellent,7.8,9.2,7.8,9.2,2.7,5.9,6.0,67.46,3.9767744,308.0,7.4,2.0,9.2,6.9,Pitch-type matchup + Hitter skill,True,0.70625,0.70625
11,Ezequiel Duran,Texas Rangers,Seattle Mariners,Logan Gilbert,1,T-Mobile Park,37,9.0,Excellent,7.5,7.4,7.8,7.4,2.7,5.9,10.0,67.46,3.9767744,308.0,7.4,5.8,7.6,8.5,Lineup context + Pitcher vulnerability,True,0.7043055555555557,0.7043055555555557
12,Cam Smith,Houston Astros,Philadelphia Phillies,Zack Wheeler,7,Citizens Bank Park,115,8.9,Excellent,9.4,8.0,6.9,8.0,6.2,6.1,4.0,87.61999999999999,10.3147586,265.0,9.2,3.3,5.2,1.9,Hitter skill + Recent power,False,0.6994444444444445,0.6994444444444445
13,Isaac Paredes,Houston Astros,Philadelphia Phillies,Zack Wheeler,3,Citizens Bank Park,115,8.8,Excellent,8.9,7.5,6.9,7.5,6.2,6.1,8.0,87.61999999999999,10.3147586,265.0,3.8,1.5,4.4,6.5,Hitter skill + Lineup context,False,0.6824999999999998,0.6824999999999998
14,Elias Díaz,Texas Rangers,Seattle Mariners,Logan Gilbert,8,T-Mobile Park,37,8.7,Excellent,6.6,9.3,7.8,9.3,2.7,5.9,3.0,67.46,3.9767744,308.0,9.0,9.3,8.8,5.0,Pitch-type matchup + Recent power,True,0.67875,0.67875
15,Yordan Alvarez,Houston Astros,Philadelphia Phillies,Zack Wheeler,2,Citizens Bank Park,115,8.6,Excellent,7.1,7.7,6.9,7.7,6.2,6.1,9.0,87.61999999999999,10.3147586,265.0,6.9,4.6,9.5,4.7,Lineup context + Pitch-type matchup,False,0.6709722222222222,0.6709722222222222
16,Rafael Flores,Pittsburgh Pirates,Chicago White Sox,Hagen Smith,8,Rate Field,69,8.5,Strong,9.2,9.8,3.3,9.8,4.1,5.5,3.0,,,,6.9,9.2,7.2,8.4,Pitch-type matchup + Hitter skill,True,0.6526388888888889,0.6526388888888889
17,Mauricio Dubón,Atlanta Braves,Tampa Bay Rays,Nick Martinez,5,Truist Park,100,8.4,Strong,7.7,3.7,9.6,3.7,5.5,6.5,6.0,82.94,4.5981454,157.0,8.4,4.2,4.6,1.6,Pitcher vulnerability + Recent power,False,0.6522222222222223,0.6522222222222223
18,Justin Foscue,Texas Rangers,Seattle Mariners,Logan Gilbert,3,T-Mobile Park,37,8.3,Strong,6.9,6.9,7.8,6.9,2.7,5.9,8.0,67.46,3.9767744,308.0,3.8,6.2,6.9,7.6,Lineup context + Pitcher vulnerability,True,0.6448611111111111,0.6448611111111111
19,Munetaka Murakami,Chicago White Sox,Pittsburgh Pirates,Jared Jones,3,Rate Field,69,8.2,Strong,9.1,7.2,5.1,7.2,4.1,5.5,8.0,,,,7.4,2.7,2.0,9.0,Hitter skill + Lineup context,True,0.6395833333333333,0.6395833333333333
20,Randal Grichuk,Chicago White Sox,Pittsburgh Pirates,Jared Jones,4,Rate Field,69,8.1,Strong,6.7,8.2,5.1,8.2,4.1,5.5,7.0,,,,9.7,8.4,9.9,8.7,Recent power + Pitch-type matchup,True,0.6356944444444445,0.6356944444444445
21,Cody Bellinger,New York Yankees,Colorado Rockies,Ryan Feltner,2,Yankee Stadium,117,8.0,Strong,8.5,2.4,6.0,2.4,6.3,6.6,9.0,84.56,6.21371,311.0,3.8,9.8,8.0,6.7,Lineup context + Hitter skill,True,0.6184722222222222,0.6184722222222222
22,Brandon Nimmo,Texas Rangers,Seattle Mariners,Logan Gilbert,4,T-Mobile Park,37,7.9,Strong,5.9,6.8,7.8,6.8,2.7,5.9,7.0,67.46,3.9767744,308.0,3.8,4.6,7.9,8.0,Pitcher vulnerability + Lineup context,True,0.6034722222222223,0.6034722222222223
23,Bryan Reynolds,Pittsburgh Pirates,Chicago White Sox,Hagen Smith,3,Rate Field,69,7.8,Strong,8.7,5.1,3.3,5.1,4.1,5.5,8.0,,,,8.1,9.5,8.4,9.8,Hitter skill + Recent power,True,0.6025,0.6025
