target_date,generated_at_utc,history_through,board_mode,weather_source,batter,game_pk,opposing_pitcher_id,model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,641355,823656,665152,1,Cody Bellinger,New York Yankees,Minnesota Twins,Dean Kremer,2,Target Field,113,10.0,Elite,9.8,8.3,9.3,8.3,6.1,5.6,9.0,59.0,13.4837507,173.0,9.8,8.4,9.1,8.5,Hitter skill + Recent power,True
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,700250,823656,665152,2,Ben Rice,New York Yankees,Minnesota Twins,Dean Kremer,1,Target Field,113,9.9,Elite,9.3,9.5,9.3,9.5,6.1,5.6,10.0,59.0,13.4837507,173.0,9.1,8.1,6.6,8.5,Lineup context + Pitch-type matchup,True
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,696100,824308,663554,3,Hunter Goodman,Colorado Rockies,San Diego Padres,Casey Mize,3,Coors Field,207,9.9,Elite,9.2,9.9,7.4,9.9,10.0,6.8,8.0,83.66,22.120807600000003,278.0,8.9,5.8,6.9,7.0,Ballpark + Pitch-type matchup,False
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,671277,823656,665152,4,Luis García Jr.,New York Yankees,Minnesota Twins,Dean Kremer,4,Target Field,113,9.8,Elite,8.8,9.4,9.3,9.4,6.1,5.6,7.0,59.0,13.4837507,173.0,9.2,9.5,9.0,7.8,Pitch-type matchup + Pitcher vulnerability,True
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,691723,823575,804636,5,Coby Mayo,Baltimore Orioles,New York Mets,Jonah Tong,4,Citi Field,101,9.8,Elite,9.0,8.8,9.8,8.8,5.5,6.0,7.0,68.18,8.5749198,351.0,8.9,9.6,6.9,6.6,Pitcher vulnerability + Hitter skill,False
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,621566,824629,656849,6,Matt Olson,Atlanta Braves,Chicago Cubs,David Peterson,3,Wrigley Field,107,9.7,Elite,10.0,9.1,6.9,9.1,5.8,6.1,8.0,69.98,12.365282899999999,132.0,8.9,6.1,9.7,8.9,Hitter skill + Pitch-type matchup,False
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,624413,823575,804636,7,Pete Alonso,Baltimore Orioles,New York Mets,Jonah Tong,2,Citi Field,101,9.7,Elite,8.1,9.7,9.8,9.7,5.5,6.0,9.0,68.18,8.5749198,351.0,8.5,8.6,8.7,9.5,Pitcher vulnerability + Pitch-type matchup,False
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,687263,823981,807739,8,Zach Neto,Los Angeles Angels,Seattle Mariners,Kade Anderson,1,Angel Stadium,101,9.6,Elite,9.9,6.5,8.8,6.5,5.5,5.5,10.0,,,,9.6,8.0,5.6,8.2,Lineup context + Hitter skill,True
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,665019,823656,701542,9,Kody Clemens,Minnesota Twins,New York Yankees,Will Warren,3,Target Field,113,9.6,Elite,8.8,8.3,7.9,8.3,6.1,5.6,8.0,59.0,13.4837507,173.0,9.2,8.5,9.6,9.4,Recent power + Hitter skill,True
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,691181,823656,701542,10,Emmanuel Rodriguez,Minnesota Twins,New York Yankees,Will Warren,7,Target Field,113,9.5,Elite,8.5,10.0,7.9,10.0,6.1,5.6,4.0,59.0,13.4837507,173.0,9.5,10.0,10.0,10.0,Pitch-type matchup + Recent power,True
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,682829,824465,669373,11,Elly De La Cruz,Cincinnati Reds,Los Angeles Dodgers,Tarik Skubal,2,Great American Ball Park,81,9.5,Elite,9.9,9.2,5.1,9.2,4.6,6.6,9.0,75.74000000000001,7.3321778,78.0,9.1,9.5,8.3,9.8,Hitter skill + Pitch-type matchup,False
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,678246,824386,668909,12,Miguel Vargas,Chicago White Sox,Cleveland Guardians,Gavin Williams,3,Progressive Field,60,9.4,Excellent,9.4,8.7,8.4,8.7,3.7,5.9,8.0,66.56,4.2253228,58.0,3.3,2.7,2.8,4.7,Hitter skill + Pitch-type matchup,False
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,545361,823981,807739,13,Mike Trout,Los Angeles Angels,Seattle Mariners,Kade Anderson,2,Angel Stadium,101,9.4,Excellent,9.7,3.6,8.8,3.6,5.5,5.5,9.0,,,,6.2,6.9,2.3,6.9,Hitter skill + Lineup context,True
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,800543,824465,666157,14,Josue De Paula,Los Angeles Dodgers,Cincinnati Reds,Nick Lodolo,9,Great American Ball Park,81,9.3,Excellent,9.4,9.0,6.0,9.0,4.6,6.6,2.0,75.74000000000001,7.3321778,78.0,8.9,9.8,6.7,9.0,Hitter skill + Pitch-type matchup,False
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,682987,823656,665152,15,Spencer Jones,New York Yankees,Minnesota Twins,Dean Kremer,5,Target Field,113,9.3,Excellent,6.6,9.6,9.3,9.6,6.1,5.6,6.0,59.0,13.4837507,173.0,3.3,6.6,5.2,9.1,Pitch-type matchup + Pitcher vulnerability,True
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,691182,824308,663554,16,Adael Amador,Colorado Rockies,San Diego Padres,Casey Mize,8,Coors Field,207,9.2,Excellent,6.5,8.9,7.4,8.9,10.0,6.8,3.0,83.66,22.120807600000003,278.0,9.4,8.9,5.9,2.0,Ballpark + Recent power,False
