target_date,generated_at_utc,history_through,board_mode,weather_source,batter,game_pk,opposing_pitcher_id,model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,input_model_rank,v2_score,ranking_score,v2_rank
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,691718,824630,694973.0,14,Pete Crow-Armstrong,Chicago Cubs,Pittsburgh Pirates,Paul Skenes,1,Wrigley Field,107.0,9.6,Elite,9.8,9.6,5.0,9.6,5.8,6.0,10.0,86.18,9.1962908,241.0,8.9,9.0,8.7,9.0,Lineup context + Hitter skill,True,18,0.7755555555555556,0.7755555555555556,14
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,701538,823170,702885.0,15,Jackson Merrill,San Diego Padres,San Francisco Giants,Cesar Perdomo,5,Oracle Park,139.0,9.5,Elite,9.6,7.9,6.0,7.9,7.3,6.2,6.0,67.64,18.9518155,287.0,9.3,9.9,9.4,9.5,Hitter skill + Recent power,True,16,0.7755555555555554,0.7755555555555554,15
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,672960,822768,680694.0,16,Kazuma Okamoto,Toronto Blue Jays,Baltimore Orioles,Kyle Bradish,6,Rogers Centre,69.0,9.5,Elite,9.0,7.8,7.6,7.8,4.1,6.6,5.0,77.54,6.027298699999999,135.0,9.2,9.8,6.2,7.6,Recent power + Hitter skill,True,36,0.7669444444444444,0.7669444444444444,16
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,686797,823657,682982.0,17,Brooks Lee,Minnesota Twins,Cleveland Guardians,Daniel Espino,7,Target Field,113.0,9.5,Elite,9.7,9.5,5.4,9.5,6.1,6.8,4.0,73.94,12.9245168,307.0,7.2,8.4,9.6,8.1,Hitter skill + Pitch-type matchup,True,17,0.758888888888889,0.758888888888889,17
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,800050,823657,687570.0,18,Chase DeLauter,Cleveland Guardians,Minnesota Twins,Connor Prielipp,2,Target Field,113.0,9.4,Excellent,10.0,5.9,7.0,5.9,6.1,6.8,9.0,73.94,12.9245168,307.0,7.2,5.9,9.7,9.4,Hitter skill + Lineup context,True,12,0.753888888888889,0.753888888888889,18
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,605141,823819,663969.0,19,Mookie Betts,Los Angeles Dodgers,Miami Marlins,Tyler Phillips,3,loanDepot park,135.0,9.4,Excellent,9.4,5.2,8.9,5.2,7.1,6.6,8.0,84.56,8.077823,93.0,9.0,6.4,5.0,6.6,Hitter skill + Recent power,True,9,0.7516666666666667,0.7516666666666667,19
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,683748,822927,663567.0,20,Victor Mesa Jr.,Tampa Bay Rays,Houston Astros,Peter Lambert,5,Tropicana Field,107.0,9.4,Excellent,8.2,9.4,6.6,9.4,5.8,5.8,6.0,86.53999999999999,2.485484,333.0,9.5,9.4,8.3,6.2,Recent power + Pitch-type matchup,True,32,0.7516666666666666,0.7516666666666666,20
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,694192,823737,663903.0,21,Jackson Chourio,Milwaukee Brewers,Cincinnati Reds,Brady Singer,1,American Family Field,88.0,9.3,Excellent,9.2,7.3,6.3,7.3,5.0,6.7,10.0,82.4,9.8797989,288.0,8.7,8.7,8.7,8.5,Lineup context + Hitter skill,True,31,0.7499999999999999,0.7499999999999999,21
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,571448,825035,677958.0,22,Nolan Arenado,Arizona Diamondbacks,Texas Rangers,Kumar Rocker,6,Chase Field,213.0,9.3,Excellent,7.1,8.1,9.2,8.1,10.0,4.8,5.0,103.64,5.4059277,240.0,9.0,3.7,8.0,7.3,Ballpark + Pitcher vulnerability,True,20,0.748611111111111,0.748611111111111,22
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,661388,823737,663903.0,23,William Contreras,Milwaukee Brewers,Cincinnati Reds,Brady Singer,3,American Family Field,88.0,9.3,Excellent,8.9,8.2,6.3,8.2,5.0,6.7,8.0,82.4,9.8797989,288.0,8.9,7.1,8.7,8.7,Hitter skill + Recent power,True,33,0.7469444444444444,0.7469444444444444,23
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,682985,824224,685299.0,24,Riley Greene,Detroit Tigers,Colorado Rockies,Tanner Gordon,4,Comerica Park,100.0,9.2,Excellent,7.6,8.5,9.5,8.5,5.5,6.7,7.0,80.6,8.7613311,220.0,9.7,7.7,1.8,2.1,Recent power + Pitcher vulnerability,True,15,0.7458333333333333,0.7458333333333333,24
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,665489,822768,680694.0,25,Vladimir Guerrero Jr.,Toronto Blue Jays,Baltimore Orioles,Kyle Bradish,3,Rogers Centre,69.0,9.2,Excellent,8.8,7.3,7.6,7.3,4.1,6.6,8.0,77.54,6.027298699999999,135.0,3.4,7.2,9.8,9.8,Hitter skill + Lineup context,True,47,0.7455555555555555,0.7455555555555555,25
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,670623,822927,693855.0,26,Isaac Paredes,Houston Astros,Tampa Bay Rays,Ian Seymour,3,Tropicana Field,107.0,9.2,Excellent,9.3,6.3,9.9,6.3,5.8,5.8,8.0,86.53999999999999,2.485484,333.0,6.4,2.1,2.6,6.2,Pitcher vulnerability + Hitter skill,True,11,0.7388888888888889,0.7388888888888889,26
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,666182,823496,543037.0,27,Bo Bichette,New York Mets,New York Yankees,Gerrit Cole,3,Yankee Stadium,117.0,9.1,Excellent,7.4,7.8,8.2,7.8,6.3,6.7,8.0,80.24000000000001,10.1283473,162.0,5.8,8.0,7.7,6.8,Pitcher vulnerability + Lineup context,True,23,0.7308333333333333,0.7308333333333333,27
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,682829,823737,,28,Elly De La Cruz,Cincinnati Reds,Milwaukee Brewers,TBD,2,American Family Field,88.0,9.1,Excellent,9.9,5.5,5.5,5.5,5.0,6.7,9.0,82.4,9.8797989,288.0,10.0,9.9,8.5,9.9,Recent power + Hitter skill,True,38,0.7277777777777777,0.7277777777777777,28
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,608369,825035,694297.0,29,Corey Seager,Texas Rangers,Arizona Diamondbacks,Brandon Pfaadt,2,Chase Field,213.0,9.1,Excellent,9.2,8.5,4.4,8.5,10.0,4.8,9.0,103.64,5.4059277,240.0,9.6,9.4,9.0,8.7,Ballpark + Recent power,True,25,0.7275,0.7275,29
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,662139,822927,693855.0,30,Daulton Varsho,Houston Astros,Tampa Bay Rays,Ian Seymour,4,Tropicana Field,107.0,9.0,Excellent,7.7,6.8,9.9,6.8,5.8,5.8,7.0,86.53999999999999,2.485484,333.0,6.8,7.5,4.5,2.7,Pitcher vulnerability + Hitter skill,True,24,0.7247222222222222,0.7247222222222222,30
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,673237,822927,693855.0,31,Yainer Diaz,Houston Astros,Tampa Bay Rays,Ian Seymour,5,Tropicana Field,107.0,9.0,Excellent,5.1,8.0,9.9,8.0,5.8,5.8,6.0,86.53999999999999,2.485484,333.0,3.4,8.4,9.8,8.5,Pitcher vulnerability + Pitch-type matchup,True,60,0.7208333333333332,0.7208333333333332,31
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,656941,824870,641816.0,32,Kyle Schwarber,Philadelphia Phillies,Atlanta Braves,Tyler Mahle,1,Truist Park,100.0,9.0,Excellent,9.8,9.4,4.1,9.4,5.5,6.5,10.0,78.98,3.4175405,157.0,9.7,7.9,5.0,8.2,Lineup context + Hitter skill,True,30,0.7194444444444443,0.7194444444444443,32
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,665019,823657,682982.0,33,Kody Clemens,Minnesota Twins,Cleveland Guardians,Daniel Espino,5,Target Field,113.0,8.9,Excellent,7.1,9.3,5.4,9.3,6.1,6.8,6.0,73.94,12.9245168,307.0,9.3,9.6,9.7,9.2,Pitch-type matchup + Recent power,True,41,0.7133333333333333,0.7133333333333333,33
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,665742,823496,543037.0,34,Juan Soto,New York Mets,New York Yankees,Gerrit Cole,2,Yankee Stadium,117.0,8.9,Excellent,9.1,3.4,8.2,3.4,6.3,6.7,9.0,80.24000000000001,10.1283473,162.0,5.8,8.1,7.9,9.5,Hitter skill + Lineup context,True,22,0.7119444444444444,0.7119444444444444,34
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,805811,823170,650633.0,35,Bryce Eldridge,San Francisco Giants,San Diego Padres,Michael King,3,Oracle Park,139.0,8.9,Excellent,8.4,6.4,7.3,6.4,7.3,6.2,8.0,67.64,18.9518155,287.0,6.8,4.3,7.8,9.1,Hitter skill + Lineup context,True,28,0.7022222222222222,0.7022222222222222,35
